,Name,Price,Closest distance to Marina Bay Sands,Closest distance to Resorts World Casino Sentosa,geometry,Traffic lights within 500 meters,Parking lots within 500 meters
15,Oasia Hotel downtown Singapore,237,2095.32780691929,2095.32780691929,POINT (103.84434021503975 1.27587275),0,917
16,"Goodwood Park Hotel, Singapore",288,3965.020205895451,3965.020205895451,POINT (103.8341091 1.3082222),0,156
17,"Hotel Chancellor Orchard, Singapore",94,2817.411115103001,2817.411115103001,POINT (103.8419319 1.3014599),1,223
18,Holiday Inn Singapore Little India,191,3094.051327886072,3094.051327886072,POINT (103.8548273 1.3119831),0,1361
19,Ibis Budget Singapore Selegie,107,2439.9140955489047,2439.9140955489047,POINT (103.84999015337985 1.3037815),0,911
20,Quincy Hotel Singapore,284,3789.417233951898,3789.417233951898,POINT (103.83578338472938 1.30772825),0,129
21,"Village Hotel Katong, Singapore",138,5120.5008272657815,5120.5008272657815,POINT (103.90299495 1.3036189999999999),1,158
22,"Hotel 81 Orchid, Singapore",58,3444.1730942870663,3444.1730942870663,POINT (103.8772777 1.3111912),0,763
23,"Village Hotel Albert Court, Singapore",128,2412.105589995532,2412.105589995532,POINT (103.8507167 1.3039026),0,1060
24,The Clan Hotel Singapore,297,1437.148694113843,1437.148694113843,POINT (103.84825189467912 1.2826274500000001),0,1073
25,"Carlton City Hotel, Singapore	",233,2148.4581884811414,2148.4581884811414,POINT (103.84372714956754 1.2760231499999999),0,913
26,Holiday Inn Express Singapore Orchard Road,273,3394.519547118567,3394.519547118567,POINT (103.8366804 1.303228),0,279
27,"Riverside Robertson Quay, Singapore",144,1579.5402511074874,1579.5402511074874,POINT (103.8471708 1.2879127),0,491
28,Regent Singapore,269,4587.041685819294,4587.041685819294,POINT (103.82484867003818 1.30462435),1,40
29,Holiday Inn Express Singapore Serangoon,194,2825.480562660281,2825.480562660281,POINT (103.8586303 1.3101411),1,1487
30,Hilton Singapore Orchard,339,3378.408371059919,3378.408371059919,POINT (103.8359161 1.3019079),0,280
31,SO/Sofitel Singapore,335,1389.7304041985967,1389.7304041985967,POINT (103.8494157 1.2800076),0,709
32,"Oxford Hotel, Singapore",68,1788.861690432234,1788.861690432234,POINT (103.85183201756749 1.29798825),1,443
33,JW Marriott Hotel Singapore South Beach,355,1173.5734710459278,1173.5734710459278,POINT (103.85591965 1.29400045),1,247
34,"Value Hotel Thomson, Singapore ",68,5096.106121392649,5096.106121392649,POINT (103.8427199 1.3269557),0,56
35,W Singapore Sentosa Cove,659,2487.0748582293418,2487.0748582293418,POINT (103.842351 1.2463653),0,0
36,"York Hotel, Singapore",162,3780.4869545786855,3780.4869545786855,POINT (103.8351875 1.3069254),0,167
37,"Orchard Rendezvous Hotel, Singapore",237,4413.847453043757,4413.847453043757,POINT (103.8278105 1.3065524),1,429
38,"PARKROYAL on Beach Road, Singapore",183,1714.5145336693115,1714.5145336693115,POINT (103.86076094343974 1.3002036000000001),4,787
39,InterContinental Singapore,354,1658.6027484882256,1658.6027484882256,POINT (103.85489228120593 1.2983823),3,865
40,"The Sultan, Singapore",105,2052.641035401213,2052.641035401213,POINT (103.8609774 1.30326335),4,881
41,"Summer View Hotel, Singapore",91,2095.879025563235,2095.879025563235,POINT (103.8524089 1.3015672),1,1035
42,"Ibis Singapore, Novena",128,4896.472379853135,4896.472379853135,POINT (103.84554165 1.32615875),0,219
43,The St Regis Singapore,482,4534.666070862906,4534.666070862906,POINT (103.8260358 1.3057577),1,352
44,"Hotel 81 Gold, Singapore",51,3754.7883926418745,3754.7883926418745,POINT (103.8811222 1.3119564),1,1024
45,"The Fullerton Bay Hotel, Singapore",583,859.727500530295,859.727500530295,POINT (103.8533943 1.2833389),0,51
46,"JEN Singapore Orchardgateway by Shangri-La, Singapore",237,3029.894266481672,3029.894266481672,POINT (103.8388997 1.3007018),1,347
47,Orchard Hotel Singapore,229,4455.284867951928,4455.284867951928,POINT (103.8282727 1.3079045),0,433
48,Four Seasons Hotel Singapore,406,4254.78787853019,4254.78787853019,POINT (103.8286527 1.3052102),1,429
49,Lloyd's Inn Singapore,169,2683.909872651534,2683.909872651534,POINT (103.8403659 1.2972636),1,260
50,30 Bencoolen Singapore,190,1930.835206498772,1930.835206498772,POINT (103.8503677 1.2984985),1,407
51,"One 15 Marina Sentosa Cove, Singapore",260,2257.66537782884,2257.66537782884,POINT (103.8397281 1.2456465),0,0
52,"Royal Plaza on Scotts, Singapore",298,4061.231001688822,4061.231001688822,POINT (103.83196278549025 1.30694525),0,433
53,"Value Hotel Balestier, Singapore",58,4130.941491685953,4130.941491685953,POINT (103.8532705 1.3212398),0,126
54,"RedDoorz Geylang, Singapore",51,3681.6687909768784,3681.6687909768784,POINT (103.8810366 1.3111938),1,849
55,"Genting Hotel Jurong, Singapore",135,12477.128215124632,12477.128215124632,POINT (103.7392596 1.3315616),0,73
56,"Hotel 81 Changi, Singapore",53,6776.250893707679,6776.250893707679,POINT (103.9116567 1.3187006),0,216
57,"Hotel G, Singapore",162,2081.246340062186,2081.246340062186,POINT (103.8515065 1.3009164),1,675
58,Courtyard by Marriott Singapore Novena,363,4449.897244408353,4449.897244408353,POINT (103.843124 1.3206975),1,0
59,"Broadway Hotel, Singapore",60,2841.731749534424,2841.731749534424,POINT (103.8532245 1.3091791),0,1538
60,"Orchid Hotel, Singapore",195,2068.9626206117096,2068.9626206117096,POINT (103.844093 1.2769196),0,1186
61,"Hotel 81 Rochor, Singapore",64,2246.107280606678,2246.107280606678,POINT (103.85402014681642 1.30375955),3,1498
62,"Hotel 81 Heritage, Singapore",71,1992.4069824477945,1992.4069824477945,POINT (103.8612999 1.3027161),4,753
63,"Hotel 81 Bugis, Singapore",78,1472.4599038221002,1472.4599038221002,POINT (103.85563975 1.2968746000000002),2,642
64,"Hotel Grand Central, Singapore",106,2816.888015851921,2816.888015851921,POINT (103.84186964145844 1.30138065),1,235
65,"AMOY, Singapore",219,10978.027677499553,10978.027677499553,POINT (103.85452535609329 1.3837673),0,0
66,"J8 Hotel, Singapore",94,2557.884255619544,2557.884255619544,POINT (103.8585205 1.3076976),0,1333
67,"Venue Hotel The Lily, Singapore",70,5312.122419826144,5312.122419826144,POINT (103.9005824 1.3115478),0,761
68,"One Farrer Hotel, Singapore",229,3220.245270687744,3220.245270687744,POINT (103.8539713 1.3129505),0,1026
69,"Hotel 81 Sakura, Singapore",51,5354.060192340903,5354.060192340903,POINT (103.90052621146283 1.3123024),0,751
70,Hilton Garden Inn Singapore Serangoon,183,2803.6923911480376,2803.6923911480376,POINT (103.85200713209007 1.3083851),0,1464
71,"Dickson, Singapore",61,2505.3967313686558,2505.3967313686558,POINT (103.853258 1.3059759),0,1662
72,"Hotel 81 Chinatown, Singapore",86,1881.1179886900384,1881.1179886900384,POINT (103.84409784251689 1.28457825),0,582
73,"CapsulePod:Aljunied, Geylang, Singapore",39,4298.125292540288,4298.125292540288,POINT (103.8839798 1.315941),0,834
74,"Studio M Hotel, Singapore",149,2530.787794024406,2530.787794024406,POINT (103.8390762 1.2907775),1,202
75,"Venue Hotel, Singapore",70,5362.220748303154,5362.220748303154,POINT (103.9023086 1.3096618),0,711
76,"Amara Sanctuary Resort Sentosa, Singapore",281,337.2918729260555,337.2918729260555,POINT (103.8221922 1.2521753),0,0
77,voco Orchard Singapore,229,4229.789736601738,4229.789736601738,POINT (103.82932351152172 1.3058383),1,433
78,"five/6 Hotel Splendour, Singapore",84,3384.281406511469,3384.281406511469,POINT (103.876669 1.3109304),0,732
79,"Naumi Hotel, Singapore",322,1390.8940663497124,1390.8940663497124,POINT (103.8551441 1.2958125),1,433
80,"Shangri-la Rasa Sentosa, Singapore",347,1358.211040477874,1358.211040477874,POINT (103.80979379937477 1.2574021499999999),0,0
81,"Hotel 81 Tristar, Singapore",78,5307.560166079595,5307.560166079595,POINT (103.8974205 1.3156884),0,913
82,"Hotel 1888, Singapore",103,1987.0472171442584,1987.0472171442584,POINT (103.8439423 1.2793919),0,1405
83,Capella Singapore,889,675.1699110480357,675.1699110480357,POINT (103.8244312 1.2496982),0,0
84,Amara Singapore,201,2211.313662109979,2211.313662109979,POINT (103.8436571 1.2749407),0,709
85,"Shangri-la, Orchard, Singapore",237,4660.406559501007,4660.406559501007,POINT (103.8239124 1.3042705),1,0
86,"Park Regis, Singapore",190,1864.5462007002063,1864.5462007002063,POINT (103.84458089120997 1.28805315),0,440
87,"Pan Pacific Serviced Suites Beach Road, Singapore",283,1650.2656214416054,1650.2656214416054,POINT (103.8606473 1.2996202),4,825
88,The Scarlet Singapore,162,1795.4812287953253,1795.4812287953253,POINT (103.8453392 1.2807998),0,1504
89,Ibis Budget Singapore Bugis,91,1483.115668648879,1483.115668648879,POINT (103.855553 1.2969412),2,668
90,"Hotel Fort Canning, Singapore",234,2117.7612244394945,2117.7612244394945,POINT (103.84566788230852 1.2960437),0,349
91,"Grand Park City, Singapore",270,1494.5830795116476,1494.5830795116476,POINT (103.8501239 1.2926289),1,85
92,D'Hotel Singapore,144,2892.773206254637,2892.773206254637,POINT (103.83501 1.2843221),0,94
93,Concorde Hotel Singapore,151,2731.520768598128,2731.520768598128,POINT (103.8422281 1.3006144),1,181
94,Metropolitan YMCA Singapore,135,5220.5560197073455,5220.5560197073455,POINT (103.82644585950621 1.3166304),0,9
95,"Champion Hotel City, Singapore",96,1578.3028061039054,1578.3028061039054,POINT (103.84702554852211 1.2871312),0,572
96,"Hotel Clover 5 HongKong Street, Singapore",95,1493.0230716428002,1493.0230716428002,POINT (103.8478653 1.2874477),0,484
97,Link Hotel Singapore,118,2904.8411926351687,2904.8411926351687,POINT (103.834912786109 1.2838418),0,94
98,"Hotel 81 Geylang, Singapore",50,3444.1730942870663,3444.1730942870663,POINT (103.8772777 1.3111912),0,763
99,Bliss Hotel Singapore,109,1858.296975244207,1858.296975244207,POINT (103.8443042 1.2844578),0,651
100,"D'Resort @ Downtown East, Singapore",93,14847.657517408425,14847.657517408425,POINT (103.9550047 1.3799828),0,358
101,"Hotel Royal @ Queens, Singapore",124,1724.7903866870831,1724.7903866870831,POINT (103.85222713751688 1.2975587),1,514
102,Hotel Bencoolen Singapore,118,2000.1399928460685,2000.1399928460685,POINT (103.85014773412036 1.2991185),1,436
103,"Robertson Quay Hotel, Singapore",92,2233.1548859376253,2233.1548859376253,POINT (103.84199502304722 1.2911796999999998),0,273
104,"Aqueen Hotel Paya Lebar, Singapore",108,5349.7690114922825,5349.7690114922825,POINT (103.8915345 1.322067),1,212
105,"Citadines Rochor, Singapore",180,2318.119322834705,2318.119322834705,POINT (103.8492397 1.3020031),0,495
106,"Hotel 81 Selegie, Singapore",57,2401.46759693679,2401.46759693679,POINT (103.84988725 1.3033165),0,790
107,The Westin Singapore,513,1337.7245224717065,1337.7245224717065,POINT (103.8507952 1.2783073),0,546
108,"Hotel 81 Balestier, Singapore",57,4149.482699206895,4149.482699206895,POINT (103.8531237 1.3213796),0,123
109,"Furama City Centre, Singapore",131,1834.1087094401796,1834.1087094401796,POINT (103.84462305428852 1.28655385),0,617
110,"Hotel 81 Palace, Singapore",50,3674.12412819188,3674.12412819188,POINT (103.88011613290807 1.3117904),1,1062
111,"Campbell Inn, Singapore",37,2427.871128555329,2427.871128555329,POINT (103.8526577 1.304988),0,1385
112,"Hotel Grand Pacific, Singapore",117,1684.066314418322,1684.066314418322,POINT (103.85259573789483 1.29736515),1,546
113,"Park Hotel Alexandra, Singapore",129,4019.0433495215584,4019.0433495215584,POINT (103.805291 1.2875264),0,0
114,"Hotel Mono, Singapore",95,4023.268567234036,4023.268567234036,POINT (103.85251245 1.320068),0,184
115,"Q Loft Hotels @ Bedok, Singapore",92,10890.278545062754,10890.278545062754,POINT (103.9470445 1.3316045),0,58
116,Singapore Marriott Tang Plaza Hotel,449,3858.617077731364,3858.617077731364,POINT (103.8328767 1.305109),0,433
117,"Hotel Yan, Singapore",134,2997.0019827437263,2997.0019827437263,POINT (103.8605715 1.3118004),1,1260
118,"Hotel Clover The Arts, Singapore",95,1465.156536742693,1465.156536742693,POINT (103.8481413 1.2875417),0,481
119,"Hotel 1929, Singapore",74,2178.7128088848344,2178.7128088848344,POINT (103.8418123 1.2807922),0,1006
120,"Park View Hotel, Bugis, Singapore",91,1472.2442672011289,1472.2442672011289,POINT (103.85649233199334 1.2972176499999999),3,746
121,"Backpacker Cozy Corner Guesthouse, Singapore",43,1614.2436303541344,1614.2436303541344,POINT (103.8558569 1.2983501),4,923
122,"Strand Hotel, Singapore",125,1987.8188313003975,1987.8188313003975,POINT (103.8497382 1.2986535),1,395
123,"Orchid Country Club, Singapore",156,14531.034075610174,14531.034075610174,POINT (103.8445374 1.4150648),0,0
124,"Hotel 81 Elegance, Singapore",64,3070.571466742785,3070.571466742785,POINT (103.8602834 1.3124598),1,1213
125,"Hotel 81 Lucky, Singapore",47,3773.107154857997,3773.107154857997,POINT (103.8814979 1.3118796),1,992
126,"Hotel NuVe Elements, Singapore",135,1522.2968339654274,1522.2968339654274,POINT (103.8475514 1.2872132),0,552
127,"Grand Copthorne Waterfront, Singapore",172,2964.165767416271,2964.165767416271,POINT (103.8349983 1.2905075),1,68
128,"New Cape Inn, Singapore",99,2997.951938221958,2997.951938221958,POINT (103.8340759 1.2855643),1,118
129,Hotel 81 Kovan,64,7941.127009931224,7941.127009931224,POINT (103.87896230121527 1.3542040499999999),0,90
130,Hotel Soloha Chinatown Singapore,118,2177.6497584702283,2177.6497584702283,POINT (103.8419212 1.2803281),0,1099
131,"Hotel Bencoolen Hong Kong Street, Singapore",146,1506.6905238120246,1506.6905238120246,POINT (103.8476723 1.2870936),0,553
132,"Arcadia Hotel, Singapore",127,2959.1879747256603,2959.1879747256603,POINT (103.8613295 1.3114598),2,1145
133,"Park Avenue Rochester, Singapore",131,6619.340229388508,6619.340229388508,POINT (103.7888972 1.3050688),1,0
134,"Arianna Hotel, Little India, Singapore",51,2743.9443845021638,2743.9443845021638,POINT (103.8559161 1.308982),0,1785
135,"The Southbridge Hotel, Singapore",108,1701.8317121064358,1701.8317121064358,POINT (103.845757 1.28347355),0,1119
136,"Perak Hotel, singapore",127,2388.0922697228007,2388.0922697228007,POINT (103.8532465 1.3048379),0,1544
137,"Furama Riverfront, Singapore",178,2803.721033040836,2803.721033040836,POINT (103.8359761 1.2876291),1,118
138,"Classique Hotel, Singapore",76,2757.413188101309,2757.413188101309,POINT (103.85816204876659 1.30947295),0,1541
139,"Tai Hoe Hotel, Singapore",67,2871.018907323908,2871.018907323908,POINT (103.8565326 1.3102722),0,1699
140,Conrad Centennial Singapore,328,1006.756617668134,1006.756617668134,POINT (103.8587748 1.293525),0,108
141,"Nostalgia Hotel, Singapore",120,3050.905022966353,3050.905022966353,POINT (103.8335903 1.285165),1,115
142,"Changi Cove, Singapore",110,17168.061088196395,17168.061088196395,POINT (103.975655 1.3885751),0,10
143,"Fragrance Hotel - Balestier, Singapore",66,4225.0922223447305,4225.0922223447305,POINT (103.8526514 1.3219749),0,138
144,Raffles Singapore,1192,1069.3946740255185,1069.3946740255185,POINT (103.85146023266938 1.2835416999999998),0,385
145,Ibis Budget Singapore Crystal,83,3600.16754868836,3600.16754868836,POINT (103.8806177 1.3105884),1,788
146,"Circular House, Singapore",155,1313.1128378763367,1313.1128378763367,POINT (103.8493082 1.286296),0,510
147,"RELC International Hotel, Singapore",144,4982.548242564792,4982.548242564792,POINT (103.8260319 1.3128386),0,9
148,"Arton Boutique Hotel, Singapore",107,3025.891172370175,3025.891172370175,POINT (103.8608539 1.3120647),2,1178
149,Ascott Orchard Singapore,396,3394.238118856358,3394.238118856358,POINT (103.83724827126358 1.30395575),0,291
150,"YWCA Fort Canning, Singapore",107,2273.7827900863904,2273.7827900863904,POINT (103.84502383006577 1.29751765),1,286
151,"Amrise Hotel, Singapore",45,3741.2033139687496,3741.2033139687496,POINT (103.8778719 1.3139641),0,845
152,"Hotel 81 Fuji, Singapore",57,4251.661949214141,4251.661949214141,POINT (103.85264795 1.3222204),0,135
153,"7 Wonders Hostel @ Upper Dickson, Singapore",34,2580.412875774223,2580.412875774223,POINT (103.8523506 1.3063518),0,1617
154,"The Keong Saik Hotel, Singapore",108,2192.283924877482,2192.283924877482,POINT (103.8416402 1.2810391),0,897
155,"Victoria Hotel, Singapore",107,1669.444837661212,1669.444837661212,POINT (103.8524422 1.2970999),1,513
156,"New Orchid Hotel, Singapore",58,4515.9689504149055,4515.9689504149055,POINT (103.8510394 1.3242913),0,266
157,"OSS Backpackers Hostel, Singapore",37,2947.174253932969,2947.174253932969,POINT (103.8607698 1.3113522),2,1249
158,"Fragrance Hotel - Rose, Singapore",61,4236.845922509442,4236.845922509442,POINT (103.8526432 1.322082),0,135
159,Ascott Raffles Place Singapore,446,1080.995758364636,1080.995758364636,POINT (103.85163850753732 1.2820931999999998),0,284
160,"Jayleen 1918, Singapore",97,1491.0922464195712,1491.0922464195712,POINT (103.84796736222823 1.28782795),0,483
161,"Fragrance Hotel - Oasis, Singapore",66,4750.531817278788,4750.531817278788,POINT (103.84869000311923 1.32583685),0,233
162,"Santa Grand Hotel East Coast, Singapore",101,5543.022247030514,5543.022247030514,POINT (103.9057837 1.3066381),4,346
163,"K2 Guesthouse, Singapore",94,4838.525892736958,4838.525892736958,POINT (103.78640971469835 1.28061605),0,41
164,"Fragrance Hotel - Kovan, Singapore",76,7919.673543125446,7919.673543125446,POINT (103.87876906699192 1.354054),0,90
165,"Fragrance Hotel - Ocean View, Singapore",90,7218.219316070232,7218.219316070232,POINT (103.7685128 1.2924138),0,156
166,"Fragrance Hotel - Classic, Singapore",64,4724.560259869412,4724.560259869412,POINT (103.8496208 1.3258637),0,255
167,"Aliwal Park Hotel, Singapore",76,2067.027929540161,2067.027929540161,POINT (103.86027814320514 1.3033793500000002),4,927
168,Jayleen Clarke Quay Hotel,116,1566.985324661128,1566.985324661128,POINT (103.8474986 1.2887207),0,463
169,"Harbour Ville Hotel, Bukit Merah, Singapore",119,2036.039822252262,2036.039822252262,POINT (103.8277447 1.272614),0,0
170,iStay.inn Singapore,91,1688.5381308912022,1688.5381308912022,POINT (103.8459241 1.2829824),0,1145
171,"The Noble Hotel, Singapore",70,3220.257090636025,3220.257090636025,POINT (103.8597759 1.3137968),1,1172
172,"River City Inn, Singapore",115,1575.8085211702196,1575.8085211702196,POINT (103.8471011 1.2874204),0,569
173,"Diamond Hotel, Singapore",58,3727.498686613811,3727.498686613811,POINT (103.8808387 1.3118604),1,1044
174,Hotel Miramar Singapore,134,2662.882439729245,2662.882439729245,POINT (103.837354 1.2883804),1,138
175,"Betel Box Backpackers Hostel, Singapore",34,5328.427528496384,5328.427528496384,POINT (103.9002681 1.3122699),0,684
176,"Spacepod, Kallang, Singapore",39,2856.81995645056,2856.81995645056,POINT (103.8619331 1.310519),2,1204
177,"The Bohemian, Chinatown, Singapore",53,1792.1127583934085,1792.1127583934085,POINT (103.844921 1.2838184),0,982
178,"Atelier, Chinatown, Singapore",58,1644.6092973341952,1644.6092973341952,POINT (103.8467706 1.280687),0,1294
179,"Vintage Inn @ Clarke Quay, Singapore",42,1575.4824043510043,1575.4824043510043,POINT (103.8471316 1.2875591),0,561
