Name,Price,geometry,Closest distance to Marina Bay Sands,Closest distance to Resorts World Casino Sentosa
Holiday Inn Express Singapore Orchard Road,273,POINT (103.8366804 1.303228),3394.519547118567,3394.519547118567
"Riverside Robertson Quay, Singapore",144,POINT (103.8471708 1.2879127),1579.5402511074874,1579.5402511074874
Regent Singapore,269,POINT (103.82484867003818 1.30462435),4587.041685819294,4587.041685819294
Holiday Inn Express Singapore Serangoon,194,POINT (103.8586303 1.3101411),2825.480562660281,2825.480562660281
Hilton Singapore Orchard,339,POINT (103.8359161 1.3019079),3378.408371059919,3378.408371059919
SO/Sofitel Singapore,335,POINT (103.8494157 1.2800076),1389.7304041985967,1389.7304041985967
"Oxford Hotel, Singapore",68,POINT (103.85183201756749 1.29798825),1788.8616904322341,1788.8616904322341
JW Marriott Hotel Singapore South Beach,355,POINT (103.85591965 1.29400045),1173.5734710459278,1173.5734710459278
"Value Hotel Thomson, Singapore ",68,POINT (103.8427199 1.3269557),5096.106121392649,5096.106121392649
W Singapore Sentosa Cove,659,POINT (103.842351 1.2463653),2487.0748582293418,2487.0748582293418
"York Hotel, Singapore",162,POINT (103.8351875 1.3069254),3780.4869545786855,3780.4869545786855
"Orchard Rendezvous Hotel, Singapore",237,POINT (103.8278105 1.3065524),4413.847453043757,4413.847453043757
"PARKROYAL on Beach Road, Singapore",183,POINT (103.86076094343974 1.3002036000000001),1714.5145336693115,1714.5145336693115
InterContinental Singapore,354,POINT (103.85489228120593 1.2983823),1658.6027484882256,1658.6027484882256
"The Sultan, Singapore",105,POINT (103.8609774 1.30326335),2052.6410354012132,2052.6410354012132
"Summer View Hotel, Singapore",91,POINT (103.8524089 1.3015672),2095.879025563235,2095.879025563235
"Ibis Singapore, Novena",128,POINT (103.84554165 1.32615875),4896.472379853135,4896.472379853135
The St Regis Singapore,482,POINT (103.8260358 1.3057577),4534.666070862906,4534.666070862906
"Hotel 81 Gold, Singapore",51,POINT (103.8811222 1.3119564),3754.7883926418745,3754.7883926418745
"The Fullerton Bay Hotel, Singapore",583,POINT (103.8533943 1.2833389),859.727500530295,859.727500530295
"JEN Singapore Orchardgateway by Shangri-La, Singapore",237,POINT (103.8388997 1.3007018),3029.8942664816714,3029.8942664816714
Orchard Hotel Singapore,229,POINT (103.8282727 1.3079045),4455.2848679519275,4455.2848679519275
Four Seasons Hotel Singapore,406,POINT (103.8286527 1.3052102),4254.78787853019,4254.78787853019
Lloyd's Inn Singapore,169,POINT (103.8403659 1.2972636),2683.909872651534,2683.909872651534
30 Bencoolen Singapore,190,POINT (103.8503677 1.2984985),1930.8352064987719,1930.8352064987719
"One 15 Marina Sentosa Cove, Singapore",260,POINT (103.8397281 1.2456465),2257.6653778288396,2257.6653778288396
"Royal Plaza on Scotts, Singapore",298,POINT (103.83196278549025 1.30694525),4061.231001688822,4061.231001688822
"Value Hotel Balestier, Singapore",58,POINT (103.8532705 1.3212398),4130.941491685953,4130.941491685953
"RedDoorz Geylang, Singapore",51,POINT (103.8810366 1.3111938),3681.6687909768784,3681.6687909768784
"Genting Hotel Jurong, Singapore",135,POINT (103.7392596 1.3315616),12477.128215124632,12477.128215124632
"Hotel 81 Changi, Singapore",53,POINT (103.9116567 1.3187006),6776.250893707679,6776.250893707679
"Hotel G, Singapore",162,POINT (103.8515065 1.3009164),2081.246340062186,2081.246340062186
Courtyard by Marriott Singapore Novena,363,POINT (103.843124 1.3206975),4449.897244408353,4449.897244408353
"Broadway Hotel, Singapore",60,POINT (103.8532245 1.3091791),2841.7317495344237,2841.7317495344237
"Orchid Hotel, Singapore",195,POINT (103.844093 1.2769196),2068.9626206117096,2068.9626206117096
"Hotel 81 Rochor, Singapore",64,POINT (103.85402014681642 1.30375955),2246.107280606678,2246.107280606678
"Hotel 81 Heritage, Singapore",71,POINT (103.8612999 1.3027161),1992.4069824477942,1992.4069824477942
"Hotel 81 Bugis, Singapore",78,POINT (103.85563975 1.2968746000000002),1472.4599038221002,1472.4599038221002
"Hotel Grand Central, Singapore",106,POINT (103.84186964145844 1.30138065),2816.888015851921,2816.888015851921
"AMOY, Singapore",219,POINT (103.85452535609329 1.3837673),10978.027677499551,10978.027677499551
"J8 Hotel, Singapore",94,POINT (103.8585205 1.3076976),2557.8842556195436,2557.8842556195436
"Venue Hotel The Lily, Singapore",70,POINT (103.9005824 1.3115478),5312.122419826144,5312.122419826144
"One Farrer Hotel, Singapore",229,POINT (103.8539713 1.3129505),3220.245270687744,3220.245270687744
"Hotel 81 Sakura, Singapore",51,POINT (103.90052621146283 1.3123024),5354.060192340903,5354.060192340903
Hilton Garden Inn Singapore Serangoon,183,POINT (103.85200713209007 1.3083851),2803.6923911480376,2803.6923911480376
"Dickson, Singapore",61,POINT (103.853258 1.3059759),2505.3967313686553,2505.3967313686553
"Hotel 81 Chinatown, Singapore",86,POINT (103.84409784251689 1.28457825),1881.1179886900386,1881.1179886900386
"CapsulePod:Aljunied, Geylang, Singapore",39,POINT (103.8839798 1.315941),4298.125292540288,4298.125292540288
"Studio M Hotel, Singapore",149,POINT (103.8390762 1.2907775),2530.787794024406,2530.787794024406
"Venue Hotel, Singapore",70,POINT (103.9023086 1.3096618),5362.220748303154,5362.220748303154
"Amara Sanctuary Resort Sentosa, Singapore",281,POINT (103.8221922 1.2521753),337.2918729260555,337.2918729260555
voco Orchard Singapore,229,POINT (103.82932351152172 1.3058383),4229.789736601738,4229.789736601738
"five/6 Hotel Splendour, Singapore",84,POINT (103.876669 1.3109304),3384.281406511469,3384.281406511469
"Naumi Hotel, Singapore",322,POINT (103.8551441 1.2958125),1390.8940663497124,1390.8940663497124
"Shangri-la Rasa Sentosa, Singapore",347,POINT (103.80979379937477 1.2574021499999999),1358.2110404778741,1358.2110404778741
"Hotel 81 Tristar, Singapore",78,POINT (103.8974205 1.3156884),5307.560166079595,5307.560166079595
"Hotel 1888, Singapore",103,POINT (103.8439423 1.2793919),1987.0472171442586,1987.0472171442586
Capella Singapore,889,POINT (103.8244312 1.2496982),675.1699110480357,675.1699110480357
Amara Singapore,201,POINT (103.8436571 1.2749407),2211.313662109979,2211.313662109979
"Shangri-la, Orchard, Singapore",237,POINT (103.8239124 1.3042705),4660.406559501007,4660.406559501007
"Park Regis, Singapore",190,POINT (103.84458089120997 1.28805315),1864.5462007002066,1864.5462007002066
"Pan Pacific Serviced Suites Beach Road, Singapore",283,POINT (103.8606473 1.2996202),1650.2656214416054,1650.2656214416054
The Scarlet Singapore,162,POINT (103.8453392 1.2807998),1795.4812287953253,1795.4812287953253
Ibis Budget Singapore Bugis,91,POINT (103.855553 1.2969412),1483.1156686488787,1483.1156686488787
"Hotel Fort Canning, Singapore",234,POINT (103.84566788230852 1.2960437),2117.7612244394945,2117.7612244394945
"Grand Park City, Singapore",270,POINT (103.8501239 1.2926289),1494.5830795116476,1494.5830795116476
D'Hotel Singapore,144,POINT (103.83501 1.2843221),2892.7732062546374,2892.7732062546374
Concorde Hotel Singapore,151,POINT (103.8422281 1.3006144),2731.5207685981277,2731.5207685981277
Metropolitan YMCA Singapore,135,POINT (103.82644585950621 1.3166304),5220.5560197073455,5220.5560197073455
"Champion Hotel City, Singapore",96,POINT (103.84702554852211 1.2871312),1578.3028061039054,1578.3028061039054
"Hotel Clover 5 HongKong Street, Singapore",95,POINT (103.8478653 1.2874477),1493.0230716428002,1493.0230716428002
Link Hotel Singapore,118,POINT (103.834912786109 1.2838418),2904.8411926351687,2904.8411926351687
"Hotel 81 Geylang, Singapore",50,POINT (103.8772777 1.3111912),3444.1730942870663,3444.1730942870663
Bliss Hotel Singapore,109,POINT (103.8443042 1.2844578),1858.296975244207,1858.296975244207
"D'Resort @ Downtown East, Singapore",93,POINT (103.9550047 1.3799828),14847.657517408425,14847.657517408425
"Hotel Royal @ Queens, Singapore",124,POINT (103.85222713751688 1.2975587),1724.7903866870831,1724.7903866870831
Hotel Bencoolen Singapore,118,POINT (103.85014773412036 1.2991185),2000.1399928460683,2000.1399928460683
"Robertson Quay Hotel, Singapore",92,POINT (103.84199502304722 1.2911796999999998),2233.1548859376253,2233.1548859376253
"Aqueen Hotel Paya Lebar, Singapore",108,POINT (103.8915345 1.322067),5349.7690114922825,5349.7690114922825
"Citadines Rochor, Singapore",180,POINT (103.8492397 1.3020031),2318.119322834705,2318.119322834705
"Hotel 81 Selegie, Singapore",57,POINT (103.84988725 1.3033165),2401.46759693679,2401.46759693679
The Westin Singapore,513,POINT (103.8507952 1.2783073),1337.7245224717065,1337.7245224717065
"Hotel 81 Balestier, Singapore",57,POINT (103.8531237 1.3213796),4149.482699206895,4149.482699206895
"Furama City Centre, Singapore",131,POINT (103.84462305428852 1.28655385),1834.1087094401794,1834.1087094401794
"Hotel 81 Palace, Singapore",50,POINT (103.88011613290807 1.3117904),3674.1241281918797,3674.1241281918797
"Campbell Inn, Singapore",37,POINT (103.8526577 1.304988),2427.8711285553295,2427.8711285553295
"Hotel Grand Pacific, Singapore",117,POINT (103.85259573789483 1.29736515),1684.066314418322,1684.066314418322
"Park Hotel Alexandra, Singapore",129,POINT (103.805291 1.2875264),4019.0433495215584,4019.0433495215584
"Hotel Mono, Singapore",95,POINT (103.85251245 1.320068),4023.2685672340363,4023.2685672340363
"Q Loft Hotels @ Bedok, Singapore",92,POINT (103.9470445 1.3316045),10890.278545062754,10890.278545062754
Singapore Marriott Tang Plaza Hotel,449,POINT (103.8328767 1.305109),3858.617077731364,3858.617077731364
"Hotel Yan, Singapore",134,POINT (103.8605715 1.3118004),2997.0019827437263,2997.0019827437263
"Hotel Clover The Arts, Singapore",95,POINT (103.8481413 1.2875417),1465.156536742693,1465.156536742693
"Hotel 1929, Singapore",74,POINT (103.8418123 1.2807922),2178.7128088848344,2178.7128088848344
"Park View Hotel, Bugis, Singapore",91,POINT (103.85649233199334 1.2972176499999999),1472.2442672011289,1472.2442672011289
"Backpacker Cozy Corner Guesthouse, Singapore",43,POINT (103.8558569 1.2983501),1614.2436303541344,1614.2436303541344
"Strand Hotel, Singapore",125,POINT (103.8497382 1.2986535),1987.8188313003977,1987.8188313003977
"Orchid Country Club, Singapore",156,POINT (103.8445374 1.4150648),14531.034075610174,14531.034075610174
"Hotel 81 Elegance, Singapore",64,POINT (103.8602834 1.3124598),3070.571466742785,3070.571466742785
"Hotel 81 Lucky, Singapore",47,POINT (103.8814979 1.3118796),3773.107154857997,3773.107154857997
"Hotel NuVe Elements, Singapore",135,POINT (103.8475514 1.2872132),1522.2968339654274,1522.2968339654274
"Grand Copthorne Waterfront, Singapore",172,POINT (103.8349983 1.2905075),2964.165767416271,2964.165767416271
"New Cape Inn, Singapore",99,POINT (103.8340759 1.2855643),2997.951938221958,2997.951938221958
Hotel 81 Kovan,64,POINT (103.87896230121527 1.3542040499999999),7941.127009931224,7941.127009931224
Hotel Soloha Chinatown Singapore,118,POINT (103.8419212 1.2803281),2177.6497584702283,2177.6497584702283
"Hotel Bencoolen Hong Kong Street, Singapore",146,POINT (103.8476723 1.2870936),1506.6905238120246,1506.6905238120246
"Arcadia Hotel, Singapore",127,POINT (103.8613295 1.3114598),2959.1879747256603,2959.1879747256603
"Park Avenue Rochester, Singapore",131,POINT (103.7888972 1.3050688),6619.340229388508,6619.340229388508
"Arianna Hotel, Little India, Singapore",51,POINT (103.8559161 1.308982),2743.9443845021633,2743.9443845021633
"The Southbridge Hotel, Singapore",108,POINT (103.845757 1.28347355),1701.8317121064358,1701.8317121064358
"Perak Hotel, singapore",127,POINT (103.8532465 1.3048379),2388.0922697228007,2388.0922697228007
"Furama Riverfront, Singapore",178,POINT (103.8359761 1.2876291),2803.7210330408357,2803.7210330408357
"Classique Hotel, Singapore",76,POINT (103.85816204876659 1.30947295),2757.4131881013095,2757.4131881013095
"Tai Hoe Hotel, Singapore",67,POINT (103.8565326 1.3102722),2871.018907323908,2871.018907323908
Conrad Centennial Singapore,328,POINT (103.8587748 1.293525),1006.7566176681339,1006.7566176681339
"Nostalgia Hotel, Singapore",120,POINT (103.8335903 1.285165),3050.9050229663535,3050.9050229663535
"Changi Cove, Singapore",110,POINT (103.975655 1.3885751),17168.061088196395,17168.061088196395
"Fragrance Hotel - Balestier, Singapore",66,POINT (103.8526514 1.3219749),4225.0922223447305,4225.0922223447305
Raffles Singapore,1192,POINT (103.85146023266938 1.2835416999999998),1069.3946740255185,1069.3946740255185
Ibis Budget Singapore Crystal,83,POINT (103.8806177 1.3105884),3600.16754868836,3600.16754868836
"Circular House, Singapore",155,POINT (103.8493082 1.286296),1313.1128378763367,1313.1128378763367
"RELC International Hotel, Singapore",144,POINT (103.8260319 1.3128386),4982.5482425647915,4982.5482425647915
"Arton Boutique Hotel, Singapore",107,POINT (103.8608539 1.3120647),3025.891172370175,3025.891172370175
Ascott Orchard Singapore,396,POINT (103.83724827126358 1.30395575),3394.238118856358,3394.238118856358
"YWCA Fort Canning, Singapore",107,POINT (103.84502383006577 1.29751765),2273.7827900863904,2273.7827900863904
"Amrise Hotel, Singapore",45,POINT (103.8778719 1.3139641),3741.2033139687496,3741.2033139687496
"Hotel 81 Fuji, Singapore",57,POINT (103.85264795 1.3222204),4251.661949214141,4251.661949214141
"7 Wonders Hostel @ Upper Dickson, Singapore",34,POINT (103.8523506 1.3063518),2580.412875774223,2580.412875774223
"The Keong Saik Hotel, Singapore",108,POINT (103.8416402 1.2810391),2192.283924877482,2192.283924877482
"Victoria Hotel, Singapore",107,POINT (103.8524422 1.2970999),1669.444837661212,1669.444837661212
"New Orchid Hotel, Singapore",58,POINT (103.8510394 1.3242913),4515.9689504149055,4515.9689504149055
"OSS Backpackers Hostel, Singapore",37,POINT (103.8607698 1.3113522),2947.174253932969,2947.174253932969
"Fragrance Hotel - Rose, Singapore",61,POINT (103.8526432 1.322082),4236.845922509442,4236.845922509442
Ascott Raffles Place Singapore,446,POINT (103.85163850753732 1.2820931999999998),1080.995758364636,1080.995758364636
"Jayleen 1918, Singapore",97,POINT (103.84796736222823 1.28782795),1491.0922464195712,1491.0922464195712
"Fragrance Hotel - Oasis, Singapore",66,POINT (103.84869000311923 1.32583685),4750.531817278788,4750.531817278788
"Santa Grand Hotel East Coast, Singapore",101,POINT (103.9057837 1.3066381),5543.022247030514,5543.022247030514
"K2 Guesthouse, Singapore",94,POINT (103.78640971469835 1.28061605),4838.525892736958,4838.525892736958
"Fragrance Hotel - Kovan, Singapore",76,POINT (103.87876906699192 1.354054),7919.673543125446,7919.673543125446
"Fragrance Hotel - Ocean View, Singapore",90,POINT (103.7685128 1.2924138),7218.219316070232,7218.219316070232
"Fragrance Hotel - Classic, Singapore",64,POINT (103.8496208 1.3258637),4724.560259869412,4724.560259869412
"Aliwal Park Hotel, Singapore",76,POINT (103.86027814320514 1.3033793500000002),2067.027929540161,2067.027929540161
Jayleen Clarke Quay Hotel,116,POINT (103.8474986 1.2887207),1566.985324661128,1566.985324661128
"Harbour Ville Hotel, Bukit Merah, Singapore",119,POINT (103.8277447 1.272614),2036.039822252262,2036.039822252262
iStay.inn Singapore,91,POINT (103.8459241 1.2829824),1688.5381308912022,1688.5381308912022
"The Noble Hotel, Singapore",70,POINT (103.8597759 1.3137968),3220.257090636025,3220.257090636025
"River City Inn, Singapore",115,POINT (103.8471011 1.2874204),1575.8085211702196,1575.8085211702196
"Diamond Hotel, Singapore",58,POINT (103.8808387 1.3118604),3727.498686613811,3727.498686613811
Hotel Miramar Singapore,134,POINT (103.837354 1.2883804),2662.882439729245,2662.882439729245
"Betel Box Backpackers Hostel, Singapore",34,POINT (103.9002681 1.3122699),5328.427528496384,5328.427528496384
"Spacepod, Kallang, Singapore",39,POINT (103.8619331 1.310519),2856.81995645056,2856.81995645056
"The Bohemian, Chinatown, Singapore",53,POINT (103.844921 1.2838184),1792.1127583934083,1792.1127583934083
"Atelier, Chinatown, Singapore",58,POINT (103.8467706 1.280687),1644.6092973341952,1644.6092973341952
"Vintage Inn @ Clarke Quay, Singapore",42,POINT (103.8471316 1.2875591),1575.4824043510043,1575.4824043510043
